ID,Last Name,First Name ,RIF?,Legacy,Group #,SF,LC,PS,I,PIG 1,PIG 2,Total,Notes (Rifs # and interests)
,Bryan,Tatum,,ADP,8,,,0,,,0,0,
,Bryant,Brooklyn,Yes,,9,,1,1,2,,1,5,
,Bryant,Jessica,Yes,,10,2,,1,,,0,3,
,Bryant,Sarah,,DDD,11,,,0,,,0,0,
,Buchanan,Maddie,,,12,,,1,,,1,2,
,Buelow,Whitney,,ADP,1,,,0,,,0,0,
,Buhner,Zane,,ADP,2,,,0,,,0,0,
,Builta,Tiana,,AOP,3,,,0,,,0,0,
,Buley,Starla,,"DG, KD",4,,,0,,,0,0,
,Buller,Gracie,Yes,,5,,1,0,2,,1,4,
,Buras,Shaun,,DG,6,,,0,,,0,0,
,Burcham,Stefany,,"DG, KKG",7,,,0,,,0,0,
,Burford,Kelsey J.,,,8,,,1,1,,1,3,
,Burford,Margaret,,XO(3),9,,,0,,,1,1,
,Burnett,Carlie M.,Yes,,10,,1,3,1,,0,5,
,Burnett,Elson,Yes,,11,,1,0,2,,1,4,
,Burnham,Carly,Yes,,12,,,2,2,,1,5,
,Burns,Libby,,,1,,,,2,,,2,
,Burress,Katelyn,Yes ,,2,,,1,,,2,3,
,Burrow,Jaycee,Yes,,3,2,,1,,,0,3,
,Busch,Elsi,Yes,,4,,,1,2,,1,4,
,Bush,Madeline,,ZTA,5,,,0,,,1,1,
,Buttaro,Kristen,,,6,,,2,,,0,2,
,Buza,Abby,Yes,,7,2,2,2,2,,1,9,
,Byrd,Allie,Yes,,8,,1,2,2,,1,6,
,Byrd,Mandy,,XO(3),9,,,1,,,0,1,
,Byrd,Payton,,"KD, SSS",10,,,0,,,1,1,
,Cabrini,Avery,Yes,,11,,,3,1,,1,5,
,Cacioppo,Madeline,,ZTA,12,,,0,,,1,1,
,Calderon,Sarah,,DDD,1,,,0,,,0,0,
,Cales,Greylin,Yes,,2,,1,1,2,,0,4,
,Calnan,Madison,,,3,,,0,2,,0,2,
,Calnan,Olivia,,KKG,4,,,1,,,0,1,
,Campbell,Adryanna,Yes,,5,,2,2,2,,1,7,
